source,target,context,text_index
pere,père,si ton pere me foudroi tout les samedis j ai sa,2962
foudroi,foudroie,si ton pere me foudroi tout les samedis j ai sa,2962
j,je,si ton pere me foudroi tout les samedis j ai sa,2962
sa,ça,si ton pere me foudroi tout les samedis j ai sa,2962
bz,baiser,va bz des chameaux ils ont le meme intellignce que toi,2963
meme,même,va bz des chameaux ils ont le meme intellignce que toi,2963
intellignce,intelligence,va bz des chameaux ils ont le meme intellignce que toi,2963
etre,être,ellian t'aurais peut etre pas du parler,2965
ouai,ouais,ouai et alors ma mere est en surpois ya quoi,2969
mere,mère,ouai et alors ma mere est en surpois ya quoi,2969
surpois,surpoids,ouai et alors ma mere est en surpois ya quoi,2969
ya,il y a,ouai et alors ma mere est en surpois ya quoi,2969
tient,tiens,tient ca ellian,2970
ca,ça,tient ca ellian,2970
mskn,miskin,mskn,2971
mtn,maintenant,Bref Paul mtn déconnectes toi et essaye d'arreter de répondre a ses provocations c inutile,2973
d'arreter,d'arrêter,Bref Paul mtn déconnectes toi et essaye d'arreter de répondre a ses provocations c inutile,2973
a,à,Bref Paul mtn déconnectes toi et essaye d'arreter de répondre a ses provocations c inutile,2973
c,c'est,Bref Paul mtn déconnectes toi et essaye d'arreter de répondre a ses provocations c inutile,2973
chibre,pénis,toi tu va tenir mon chibre ouai sale pute,2974
ouai,ouais,toi tu va tenir mon chibre ouai sale pute,2974
ca,ça,ca tapporte rien dans ta vie a part de la d,2977
tapporte,t'apporte,ca tapporte rien dans ta vie a part de la d,2977
a,à,ca tapporte rien dans ta vie a part de la d,2977
d,drogue,ca tapporte rien dans ta vie a part de la d,2977
chibre,pénis,lequel de chibre 36mm on le vois pas,2978
chibre,pénis,avoir un chibre pour ne pas s'en servir c'est dommage Ellian,2979
y,il,y faut un microscope,2980
bahaha,rire,bahaha,2981
ouf,fou,de ouf,2982
arretez,arrêtez,vous arretez un peu,2984
frr,frère,MAIS FRR,2986
c est,c'est,les gays c est des gay,2988
waw,waouh,waw Ellian t’es sur ?,2989
sur,sûr,waw Ellian t’es sur ?,2989
ty,t'y,tu vois quand tu ty mets,2991
c,c'est,bref c inutile,2992
allors,alors,ellian tu ne sais plus quoi dire allors occupe toi de ton chibre et d'essayer de le faire grandir au lieu de nous soulé,2994
soulé,saouler,ellian tu ne sais plus quoi dire allors occupe toi de ton chibre et d'essayer de le faire grandir au lieu de nous soulé,2994
mere,mère,ta mere elle a du t'élever a la dure,2999
a,à,ta mere elle a du t'élever a la dure,2999
