source,target,context,text_index
daronne,mère,et quoi quand vous baisser ensemble tu demande a ta daronne de t'aider et ftg tu connais r a la vie,2427
ftg,ferme ta gueule,et quoi quand vous baisser ensemble tu demande a ta daronne de t'aider et ftg tu connais r a la vie,2427
r,rien,et quoi quand vous baisser ensemble tu demande a ta daronne de t'aider et ftg tu connais r a la vie,2427
ya,il y a,on les merdes comme vous ya pas a vous respecter,2429
a,à,on les merdes comme vous ya pas a vous respecter,2429
annimeaux,animaux,pire que des annimeaux,2431
niker,niquer,bah moi je te dit ce que tu va faire tu va bien niker tes mort,2433
reflechir,réfléchir,de pas reflechir et respecter ce que ressentent les autres  oui c des animaux,2434
c,c'est,de pas reflechir et respecter ce que ressentent les autres  oui c des animaux,2434
aucupe,occupe,jimmy aucupe toi de ton cue que paul encule ;),2435
cue,cul,jimmy aucupe toi de ton cue que paul encule ;),2435
;),clin d'œil,jimmy aucupe toi de ton cue que paul encule ;),2435
'=(,tristesse/pleurs,"'=(  Nicolas  t""es trop con  arrete d'etre  bete  et essaie de  comprendre   ton attitude ne te rend pas populaire",2436
"t""es",tu es,"'=(  Nicolas  t""es trop con  arrete d'etre  bete  et essaie de  comprendre   ton attitude ne te rend pas populaire",2436
arrete,arrête,"'=(  Nicolas  t""es trop con  arrete d'etre  bete  et essaie de  comprendre   ton attitude ne te rend pas populaire",2436
d'etre,d'être,"'=(  Nicolas  t""es trop con  arrete d'etre  bete  et essaie de  comprendre   ton attitude ne te rend pas populaire",2436
bete,bête,"'=(  Nicolas  t""es trop con  arrete d'etre  bete  et essaie de  comprendre   ton attitude ne te rend pas populaire",2436
sa,ça,sa ma dit que tu suce bien en plus avec la video qui a tourner fdp,2437
ma,m'a,sa ma dit que tu suce bien en plus avec la video qui a tourner fdp,2437
fdp,fils de pute,sa ma dit que tu suce bien en plus avec la video qui a tourner fdp,2437
keske,qu'est-ce que,keske wlh,2438
wlh,wallah,keske wlh,2438
y,il,grave y degoute,2440
degoute,dégoûte,grave y degoute,2440
degoute,dégoûte,"c""est votre attitude qui degoute",2442
tournee,tourner,on va te faire tournee dans tout le quartier,2443
c,c'est,non c toi qui dégoute,2445
c,c'est,ton manque d'intelligence c pire que tout,2446
boiten,boîte,tu va repartir en boiten,2447
tenclancher,t'enclencher,je vais tenclancher toi vien en ce donne un tete,2448
vien,viens,je vais tenclancher toi vien en ce donne un tete,2448
ce,se,je vais tenclancher toi vien en ce donne un tete,2448
tete,tête,je vais tenclancher toi vien en ce donne un tete,2448
debiles,débiles,vos menaces sont debiles,2449
ba,bah,ba vien n face et on verra,2450
n,en,ba vien n face et on verra,2450
trdc,trou du cul,lisa et camille y sont inexistant trdc perdu,2451
niker,niquer,je vais te niker tt tes mort toi ta daronne ton daron et ton fdp de Jimmy le gwer,2452
tt,tous,je vais te niker tt tes mort toi ta daronne ton daron et ton fdp de Jimmy le gwer,2452
daronne,mère,je vais te niker tt tes mort toi ta daronne ton daron et ton fdp de Jimmy le gwer,2452
daron,père,je vais te niker tt tes mort toi ta daronne ton daron et ton fdp de Jimmy le gwer,2452
fdp,fils de pute,je vais te niker tt tes mort toi ta daronne ton daron et ton fdp de Jimmy le gwer,2452
gwer,français,je vais te niker tt tes mort toi ta daronne ton daron et ton fdp de Jimmy le gwer,2452
ftg,ferme ta gueule,et ftg friends,2454
mes,mais,mes tu va areter jimmy,2455
areter,arrêter,mes tu va areter jimmy,2455
cb,combien,cb tg toi friend tes mort,2456
tg,ta gueule,cb tg toi friend tes mort,2456
tes,t'es,cb tg toi friend tes mort,2456
tes,t'es,wallah tu tes cru au stayts,2457
stayts,états-unis,wallah tu tes cru au stayts,2457
niquer,dominer,et toi  tu es pretentieux pour niquer tout le monde faut pouvoir. Mais  surtout se servir de son  cerveau c dur quand on en a pas,2459
c,c'est,et toi  tu es pretentieux pour niquer tout le monde faut pouvoir. Mais  surtout se servir de son  cerveau c dur quand on en a pas,2459
jppppppppppppp,j'en peux plus,jppppppppppppp c quoi ses repartie de victimes la je meur,2460
c,c'est,jppppppppppppp c quoi ses repartie de victimes la je meur,2460
wee,oui,et wee hein bien sur wallah au lieux de parler pour rien fdp,2461
wallah,je le jure,et wee hein bien sur wallah au lieux de parler pour rien fdp,2461
fdp,fils de pute,et wee hein bien sur wallah au lieux de parler pour rien fdp,2461
ouai,ouais,ah ouai paupauuuu,2462
paupauuuu,paupau,ah ouai paupauuuu,2462
vien,viens,vien te nike ta grand mere kehba,2463
nike,niquer,vien te nike ta grand mere kehba,2463
mere,mère,vien te nike ta grand mere kehba,2463
kehba,pute,vien te nike ta grand mere kehba,2463
c,c'est,c surement plus malin que tes remarques et insultes stupides,2464
vzy,vas-y,vzy j'ai pas ton temps,2465
fdp,fils de pute,fdp va niker ttes mort grosse kehba de bitch,2466
niker,niquer,fdp va niker ttes mort grosse kehba de bitch,2466
ttes,toutes,fdp va niker ttes mort grosse kehba de bitch,2466
mort,mère,fdp va niker ttes mort grosse kehba de bitch,2466
kehba,pute,fdp va niker ttes mort grosse kehba de bitch,2466
bitch,pute,fdp va niker ttes mort grosse kehba de bitch,2466
francais,français,parle francais betasse,2473
betasse,bétasse,parle francais betasse,2473
ca,ça,faut pas insulter les gens comme ca,2477
pd,pédé,dégage de la pd,2478
ca,ça,ca dégage,2480
velo,vélo,tu fait du velo sans celle,2488
celle,selle,tu fait du velo sans celle,2488
etes,êtes,mais vous etes des grands malades,2491
quest,qu'est-ce que,Camille quest tu veux,2495
niq,nique,Camille niq toi,2496
a,à,t'as rien d'autre a dire jimmy,2500
