source,target,context,text_index
wesh,salut,WESH silvia pk tu vien et tu fou la merde dans les couple,0
pk,pourquoi,WESH silvia pk tu vien et tu fou la merde dans les couple,0
pécho,choper,grave tu viens et tu pécho d'autre gars,1
meme,même,vas y t'es tellement une pute que tu irai draguer meme les mecs de tes copines,3
nan,non,nan mais les gars calmez vous quoi si lucas c'est lui la pute j'y peu rien,4
nudes,photos dénudées,Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus,5
ca,ça,Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus,5
quil,qu'il,Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus,5
ta,t'a,Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus,5
di,dit,Lucas il ma di qu'il voulait pas rester avecc sophie,6
avecc,avec,Lucas il ma di qu'il voulait pas rester avecc sophie,6
:@,énervé,mon cul:@,7
mere,mère,aller niquez vos mere,8
nike,nique,toi nike ta mere sallle pute,9
mere,mère,toi nike ta mere sallle pute,9
sallle,sale,toi nike ta mere sallle pute,9
tjr,toujours,lucas etait en couple et toi tu est tjr la tu fou la merde en plus tu savai,10
sa,ça,sa ser a rien de le défendre t qune pute assumee suceuse,12
ser,sert,sa ser a rien de le défendre t qune pute assumee suceuse,12
a,à,sa ser a rien de le défendre t qune pute assumee suceuse,12
t,t'es,sa ser a rien de le défendre t qune pute assumee suceuse,12
qune,qu'une,sa ser a rien de le défendre t qune pute assumee suceuse,12
assumee,assumée,sa ser a rien de le défendre t qune pute assumee suceuse,12
mere,mère,ta mere la reine des salope,15
jmen,je m'en,lucas jmen balek il a qu'a rester avec sa sophie c'est elle qui est moche,16
balek,je m'en bats les couilles,lucas jmen balek il a qu'a rester avec sa sophie c'est elle qui est moche,16
qu'a,qu'à,lucas jmen balek il a qu'a rester avec sa sophie c'est elle qui est moche,16
qu'est,qu'est-ce,qu'est qu'elle a l'autre rousse? tu défend les putes,17
tete,tête,piste ta tete endirerb un monstre poto,18
endirerb,on dirait,piste ta tete endirerb un monstre poto,18
poto,pote,piste ta tete endirerb un monstre poto,18
fdp,fils de pute,moi silvia on est les plus belle bande de fdp,20
tes,t'es,en plus tes la tu vien de serbi,22
la,là,en plus tes la tu vien de serbi,22
vien,viens,en plus tes la tu vien de serbi,22
serbi,serbie,en plus tes la tu vien de serbi,22
ten merde,t'emmerde,et  elle ten merde niker vos grand mere,23
niker,niquer,et  elle ten merde niker vos grand mere,23
c'esst,c'est,"la serbie c'esst le sang,  vous etes jaloux c'est tout",25
etes,êtes,"la serbie c'esst le sang,  vous etes jaloux c'est tout",25
profs,professeurs,va sucer tes profs,26
mortttttttt,mort,le con de tes mortttttttt soan t une pute tfacon t la plus gross victime,31
t,tu es,le con de tes mortttttttt soan t une pute tfacon t la plus gross victime,31
tfacon,de toute façon,le con de tes mortttttttt soan t une pute tfacon t la plus gross victime,31
t,tu es,le con de tes mortttttttt soan t une pute tfacon t la plus gross victime,31
gross,grosse,le con de tes mortttttttt soan t une pute tfacon t la plus gross victime,31
arrete,arrête,bande de sombre pute lucas arrete de faire le beau avec ta petite bite,32
srx,sérieux,adrien et silvia arreter srx,33
probleme,problème,retourne en serbie et il y aura plus de probleme fdp,34
fdp,fils de pute,retourne en serbie et il y aura plus de probleme fdp,34
ta,t'as,qu'est ce ta helbert?,35
sa,ça,sa sert a r de se prendre la tete comme des enfants,36
a,à,sa sert a r de se prendre la tete comme des enfants,36
r,rien,sa sert a r de se prendre la tete comme des enfants,36
tete,tête,sa sert a r de se prendre la tete comme des enfants,36
pk,pourquoi,on arrete rien du tout pk elle assume pas cette salopeee,37
salopeee,salope,on arrete rien du tout pk elle assume pas cette salopeee,37
tete,tête,vos tete de sperm,38
sperm,sperme,vos tete de sperm,38
shnek,chatte,vous puez de la shnek bande de crasseuse,40
ouai,ouais,ouai c'est eux qui m'insultent genre normal alors que leur pote il me drague tranquile,41
tranquile,tranquille,ouai c'est eux qui m'insultent genre normal alors que leur pote il me drague tranquile,41
déja,déjà,déja toi sylvia me parle pas,47
pq,pourquoi,pq tu dis ça?,48
t,tu,t as vu ce que t as fait a la soiré sale pute,49
t,tu,t as vu ce que t as fait a la soiré sale pute,49
soirè,soirée,t as vu ce que t as fait a la soiré sale pute,49
pq,pourquoi,et pq tu me traites de pute?,51
c,c'est,oui c toi,55
a,à,commence pas a parler d elle comme ca,57
ca,ça,commence pas a parler d elle comme ca,57
c,c'est,C pas de sa faute c Lucas,58
c,c'est,C pas de sa faute c Lucas,58
pblm,problème,c'est quoi ton fucking pblm,59
dégeulasse,dégueulasse,c'est dégeulasse,70
t,t'es,sylvia t vraiment la pire des grosses salope tu savait qu il été en couple est tu la embrassé ta aucun *e race,73
ta,t'as,sylvia t vraiment la pire des grosses salope tu savait qu il été en couple est tu la embrassé ta aucun *e race,73
*e,de,sylvia t vraiment la pire des grosses salope tu savait qu il été en couple est tu la embrassé ta aucun *e race,73
d'etre,d'être,En plus d'etre une  aguicheusse de merde tu es une menteuse,78
arreter,arrêtez,Arreter laisser la tranquille elle a rien fait,80
san,sans,San tas rien fait et ne fait rien mnt,82
tas,tu as,San tas rien fait et ne fait rien mnt,82
mnt,maintenant,San tas rien fait et ne fait rien mnt,82
mere,mère,toi ta mere c satan,83
c,c'est,toi ta mere c satan,83
calmùer,calmer,Il a mis sa langue dans ma bouche j'ai rien fait pour la retirer mais faut te calmùer avec les insultes,84
sa,ça,non sa arrive pas elle ne peux pas se trouver un mec sans foutre le couple des autres en l'air !,87
baisable,qui peut être baisé,vaut mieux être un boulette baisable qu'un bâton frigide,94
oula,oh là,"oula,  t'attaques?",96
e,elle,e a de queue un trans travelo,98
trans,transgenre,e a de queue un trans travelo,98
travelo,personne transgenre,e a de queue un trans travelo,98
