source,target,context,text_index
etes,êtes,vous etes qu'une bande de con ceux qui respectent r,2501
r,rien,vous etes qu'une bande de con ceux qui respectent r,2501
c,c'est,mais c vous qui respecter pas la nature a etre homo,2502
a,à,mais c vous qui respecter pas la nature a etre homo,2502
etre,être,mais c vous qui respecter pas la nature a etre homo,2502
fight,se battre,arthur tu veux te fight,2503
tg,ta gueule,lisa tg stp,2504
stp,s'il te plaît,lisa tg stp,2504
c,c'est,mais c le cas,2507
ba,bah,ba oui ...,2509
arrete,arrête,mais Paul arrete de parler stppp,2513
stppp,s'il te plaît,mais Paul arrete de parler stppp,2513
estes,êtes,vous estes des gays refoulés c'est pour ça que vous savez qu'insulter,2515
pd,pédé,t'as cru j'allais rester pote avec un pd,2516
pd,pédé,c'est toi le pd mec,2518
tg,ta gueule,tg Camille,2519
trnql,tranquille,ils ont mal au cul trnql,2520
tg,ta gueule,tg Camille t'es une merde,2522
nimp,n'importe quoi,tu raconte nimp,2523
a,à,tu parles a toi bête grosse conne t tebe,2528
t,t'es,tu parles a toi bête grosse conne t tebe,2528
tebe,teubé,tu parles a toi bête grosse conne t tebe,2528
nan,non,nan mais boomer change de voc pd,2531
voc,vocabulaire,nan mais boomer change de voc pd,2531
pd,pédé,nan mais boomer change de voc pd,2531
ojn,on,mais ojn s'en fout qu'il aime les noirs laisse le aimer qui il veut non ?,2532
animeaux,animaux,bah non  on baisse pas avec des animeaux,2533
ba,bah,Ellian Ok boomer ah ba oui evidemment Ellian c'est bien connu ça ...,2535
evidemment,évidemment,Ellian Ok boomer ah ba oui evidemment Ellian c'est bien connu ça ...,2535
se,ce,Lisa45  il aime se qui est a gros volume finalement,2538
a,à,Lisa45  il aime se qui est a gros volume finalement,2538
t'aime,tu aimes,t'aime les mecs donc t'aime les grosse,2540
t'aime,tu aimes,t'aime les mecs donc t'aime les grosse,2540
t',tu,t'insulte pour rien dire t'as pas d'arguments,2544
t',tu,t'insulte pour rien dire t'as pas d'arguments,2544
ca,ça,Ellian la merde ca sort du cul pas de la bouche,2546
repartit,répartie,wow t'as de la repartit,2547
enfaite,en fait,t'es nul enfaite,2550
blc,bat les couilles,comme Paul il s'en blc,2551
a,à,rentre chez toi tu sers a r vrmt degage,2552
r,rien,rentre chez toi tu sers a r vrmt degage,2552
vrmt,vraiment,rentre chez toi tu sers a r vrmt degage,2552
jsuis,je suis,jsuis chez moi perso,2553
perso,personnellement,jsuis chez moi perso,2553
meme,même,allez trois meme,2568
t'as,tu as,Paul un traitement ? t'as que dal,2572
dal,rien,Paul un traitement ? t'as que dal,2572
etait,était,pas du tout c'est comme on a etait crée,2575
sais,sait,on sais tous que vous regardez des pornos gays arretez de faire les choqué,2576
arretez,arrêtez,on sais tous que vous regardez des pornos gays arretez de faire les choqué,2576
bahahaha,rire,bahahaha gay refoulé,2580
enfaite,en fait,enfaite vous etes jaloux,2584
etes,êtes,enfaite vous etes jaloux,2584
quell,quelle,wow quell repartie Ellian,2585
t'en,tu en,ton fantasme c'est de baiser un mec t'en reve pourquoi tu nous fait le saint,2588
a,à,tu parle a Paul la ?,2589
la,là,tu parle a Paul la ?,2589
a,à,non a Ellian,2591
ptdrrr,pété de rire,ptdrrr ah non tkt,2592
tkt,t'inquiète,ptdrrr ah non tkt,2592
a,ça,choqué dessus a ca me rassure,2595
ca,ça,choqué dessus a ca me rassure,2595
t',tu,t'aime les bites de noir fait pas genre,2596
ba,bah,Ellian  ah ba oui ! c'est évident,2597
a,à,tu vois Ellian a compris la vie contrairement a Paul,2599
tetons,tétons,Ellian tu aime les tetons des hommes pas des femmes,2600
déjàa,déjà,Déjàa lisa ecrit dès le debut fr,2602
ecrit,écrit,Déjàa lisa ecrit dès le debut fr,2602
debut,début,Déjàa lisa ecrit dès le debut fr,2602
fr,français,Déjàa lisa ecrit dès le debut fr,2602
apprend,apprends,apprend le français stp,2604
stp,s'il te plaît,apprend le français stp,2604
zemours,zemmour,zemours !!!!,2606
ftg,ferme ta gueule,nicola ftg,2608
ca,ça,aucun gay ICI CA DEGAGE,2610
degage,dégage,c'est toi tu degage mec,2614
premiere,première,moi au moins je suis un sucer de premiere pas*,2617
ca,ça,"Camille moi j'ai compris la vie, un homme une femme . rien de plus Camille ca degage",2618
degage,dégage,"Camille moi j'ai compris la vie, un homme une femme . rien de plus Camille ca degage",2618
bahaha,rire,bahaha aller va te prendre une queue dans le cul ca te decoincera,2619
ca,ça,bahaha aller va te prendre une queue dans le cul ca te decoincera,2619
degoute,dégoûtes,Camille tu me degoute,2620
decoincais,décoincé,Paul est decoincais depuis lomgtemps,2621
lomgtemps,longtemps,Paul est decoincais depuis lomgtemps,2621
deja,déjà,prends en une deja par ton mec si t'en as,2622
ptdrrr,pété de rire,ptdrrr grave,2623
mdrrr,mdr,non mdrrr,2629
etes,êtes,bon allez je me casse vous etes que des cons,2632
dégouter,dégoûter,bon vous me dégouter les pd je me casse et allé vous faire soigner,2633
