source,target,context,text_index
pennes,pense,je suis pas potes avec des aguicheuse pareil ! je voudrait pas qu'on me pennes attentionner mon copain,102
attentionner,draguer,je suis pas potes avec des aguicheuse pareil ! je voudrait pas qu'on me pennes attentionner mon copain,102
apparement,apparemment,je pique les mecs moi apparement,106
ohhh,oh,ohhh ca part bien,109
ca,ça,ohhh ca part bien,109
parceque,parce que,parceque t une pute qui les chauffe et qui les paie,110
t,t'es,parceque t une pute qui les chauffe et qui les paie,110
a,à,t'es une pute qui n'arrive pas a trouver de mec,111
apres,après,et apres tu leur donne des MST,113
apie,a appuyé,et il apie,117
m,m',il m envoie pas au bar a pute comme toi,119
a,à,il m envoie pas au bar a pute comme toi,119
sa,ça,tout sa parce que t'es jalouse de leurs amour connasse,120
apparts,appartements,il leur paie des apparts privés,122
t,t'es,t conne,125
adri,adrien,Adri calme-toi ça sert à rien de sénerver,129
sénerver,s'énerver,Adri calme-toi ça sert à rien de sénerver,129
pcq,parce que,écoute si tu es frustré pcq tu en as une mini c'est pas de ma faute,131
t'as,tu as,T'as enfin fermé ta gueule?,132
ca,ça,te mele pas de ca herbert,133
arreter,arrêter,On se calme arreter de l'attaquer tout le temps a la fin,135
a,à,On se calme arreter de l'attaquer tout le temps a la fin,135
tkt,t'inquiète,Tkt Soan ils me font pitié,136
sa,ça,tu prend tout ton temps pour embrasser des mecs en couple c'est sa ?,137
quel,qu'elle,viens la voir et verrai quel fera plus mal que ce que tu crois,140
t,t'es,t encore pucelle et tu parle avec moi,141
jai,j'ai,moi jai enculé ta darronne la salope,143
darronne,mère,moi jai enculé ta darronne la salope,143
marrave,battre,cette pute la marrave,144
arrete,arrête,herbert arrete,146
ouej,joué,bien ouej adri,149
pédale,homosexuel (péjoratif),pédale des qu on est triste on va pleuré chez papa pendant qu il se branle,152
qu,que,pédale des qu on est triste on va pleuré chez papa pendant qu il se branle,152
qu,que,pédale des qu on est triste on va pleuré chez papa pendant qu il se branle,152
branle,masturbe,pédale des qu on est triste on va pleuré chez papa pendant qu il se branle,152
allé,allez,allé un nouveau client pour toi Silvia,154
mele,mêle,c'est toi qui se mele,157
sarange,s'arrange,Je veux juste que ça sarange,158
ou,où,tu es de son côté alors qu'elle traine son cul sale partout ou ya des mecs,159
ya,il y a,tu es de son côté alors qu'elle traine son cul sale partout ou ya des mecs,159
c,c'est,c vrai herbert il est nien il a pas pécho le mec de sophie luii!!!!!!,160
nien,bien,c vrai herbert il est nien il a pas pécho le mec de sophie luii!!!!!!,160
pécho,draguer,c vrai herbert il est nien il a pas pécho le mec de sophie luii!!!!!!,160
luii,lui,c vrai herbert il est nien il a pas pécho le mec de sophie luii!!!!!!,160
t,t'es,ban t ou sylvia on t entend plus,163
ou,où,ban t ou sylvia on t entend plus,163
t,te,ban t ou sylvia on t entend plus,163
tkt,t'inquiète,tkt pas Silvia ce sont que des cons,164
ouuouuu,où,sylvia ouuouuu?,165
laiisser,laisser,laiisser,167
déso,désolé,déso j'avais plus de connexion,169
deja,déjà,deja on est pas con soan,172
ces,c'est,ces ton pere qui la pomper comme toi avec les mecs!!!!!!!!!!!!!!!!,177
pere,père,ces ton pere qui la pomper comme toi avec les mecs!!!!!!!!!!!!!!!!,177
!!!!!!!!!!!!!!!!,!,ces ton pere qui la pomper comme toi avec les mecs!!!!!!!!!!!!!!!!,177
phone,téléphone,Je vais demander à ton père de me payer un vrai phone,178
fdp,fils de pute,mon père est mort fdp,179
vazi,vas-y,mais vazi sens toi mieux mtnt,180
mtnt,maintenant,mais vazi sens toi mieux mtnt,180
vrai,vraie,"c'est parce qu'il a eu une vrai leçon, lui aussi il piquer les meufs des autres ?",181
t,te,il pourras pas t acheter de tel,182
tel,téléphone,il pourras pas t acheter de tel,182
puatin,putain,respecter sa famille puatin,184
fammille,famille,sa fammille de pute,185
cest,c'est,cest pas respectable,186
c,c'est,si il est mort c est de tas faute parce que t une grosse pute,189
tas,ta,si il est mort c est de tas faute parce que t une grosse pute,189
t,t'es,si il est mort c est de tas faute parce que t une grosse pute,189
mere,mère,comptable de pute entre ta mere et toi,192
meme,même,Et ta soeur elle veut meme plus te voir Adrien alors tait toi,196
tait,tais,Et ta soeur elle veut meme plus te voir Adrien alors tait toi,196
demonte,démonte,non reste je vais te demonte ta gueule qui suce des bites,202
tete,tête,comme une autruche tu met ta tete dans des trou ?,205
ca,ça,Ca commence a etre lourd la,206
a,à,Ca commence a etre lourd la,206
etre,être,Ca commence a etre lourd la,206
la,là,Ca commence a etre lourd la,206
boche,bouche,parce que elle est trop grosse pour rentrer dans ta boche,207
tete,tête,met ta tete entre tes cuisses a la place de prendre les mecs des autres,209
a,à,met ta tete entre tes cuisses a la place de prendre les mecs des autres,209
boucje,bouge,boucje,210
ls,les,ls trous de ta mere,213
mere,mère,ls trous de ta mere,213
pere,père,au moins mon pere est pas mort,216
geule,gueule,Fermez vos geule à la fin laiisser la tranquille,219
laiisser,laisser,Fermez vos geule à la fin laiisser la tranquille,219
jai,j'ai,jai pas besoin d'embrasser un mec en le forcant moi :),221
:),sourire,jai pas besoin d'embrasser un mec en le forcant moi :),221
ouej,joué,bien ouej,223
reussis,réussi,tu as jamais reussis a marcher droit,226
a,à,tu as jamais reussis a marcher droit,226
parceque,parce que,toi aussi tu marche pas droit parceque tu t fais demonter par ton pere,227
t,t'es,toi aussi tu marche pas droit parceque tu t fais demonter par ton pere,227
demonter,démonter,toi aussi tu marche pas droit parceque tu t fais demonter par ton pere,227
pere,père,toi aussi tu marche pas droit parceque tu t fais demonter par ton pere,227
pềre,père,il est mort mon pềre,229
cimetire,cimetière,il est manque dans son cimetire,232
mere,mère,il pourra enculé ta mere la squellette,233
squellette,squelette,il pourra enculé ta mere la squellette,233
wsh,wesh,wsh canapeche,234
ptite,petite,Soan ptite pute Soan arrete de pomper a tout va,237
arrete,arrête,Soan ptite pute Soan arrete de pomper a tout va,237
a,à,Soan ptite pute Soan arrete de pomper a tout va,237
serieux,sérieux,"T'es serieux, qu'es tu veut Adrien",239
qu'es,qu'est-ce,"T'es serieux, qu'es tu veut Adrien",239
veut,veux,"T'es serieux, qu'es tu veut Adrien",239
ten,t'en,essuie toi la bouche il ten reste encore un peu,240
vilan,vilain,en plus t’es trop vilan Soan tu passe pas les portes,241
tg,ta gueule,tg,243
camarde,camarade,t'es une pute t'as trahi ta camarde,246
t,tu,silvia on a toujours dis que t etais une traînée,250
ca,ça,que ca pompe,252
mmeler,mêler,on va te mmeler,253
jte,je te,Soan reprend parti jte baise,255
tg,ta gueule,tg,258
tg,ta gueule,tg t’as pas le droit a la parole Soan,259
a,à,tg t’as pas le droit a la parole Soan,259
