source,target,context,text_index
chui,je suis,chui juste pour le z,1100
z,sexe,chui juste pour le z,1100
t,t'es,anton65 toi t juste con,1102
<3,cœur,faites l'amour pas la guerre mes vies <3,1110
ca,ça,arretez tout ca faites vous la paix et on fais comme si il ne s'etais rien passer,1111
s'etais,s'était,arretez tout ca faites vous la paix et on fais comme si il ne s'etais rien passer,1111
stp,s'il te plaît,Franchement si c'est juste ça c'est cool .Mais me fait plus jamais ça stp ^^,1113
^^,content,Franchement si c'est juste ça c'est cool .Mais me fait plus jamais ça stp ^^,1113
<3,amour,oui… <3,1114
poste,postée,retires tu la photo de fatima poste a son insu pauline ?,1117
a,à,retires tu la photo de fatima poste a son insu pauline ?,1117
la,là,teresa tu dis quoi la,1118
aura,il y aura,la paix elle existera quand aura plus les arabes,1119
tkt,t'inquiète,tkt fatima,1120
vrmnt,vraiment,pierre vrmnt tg quoi,1122
tg,ta gueule,pierre vrmnt tg quoi,1122
arreter,arrêter,pierre ferme ta bouche tu vois pas que tu le monde a arreter t'es le seul a continuer,1124
a,à,pierre ferme ta bouche tu vois pas que tu le monde a arreter t'es le seul a continuer,1124
cimer,merci,Cimer <3,1125
<3,cœur,Cimer <3,1125
tjrs,toujours,Y’aura tjrs de arabe et ça va rester comme ça,1126
ptdrrr,pété de rire,ptdrrr anton tg,1127
tg,ta gueule,ptdrrr anton tg,1127
cringe,malaisant,t'es cringe,1130
tjrs,toujours,moi par contre je l'aime tjrs pas elle est arabes elle va ns voler,1133
ns,nous,moi par contre je l'aime tjrs pas elle est arabes elle va ns voler,1133
ouii,oui,Ouii… excusez moi,1135
tg,ta gueule,Tg tu t'es allié aux ennemis pauline toi tu partira dans le même bateau pneumatique,1136
cers,ces,cers propos sont desolants,1137
desolants,désolants,cers propos sont desolants,1137
meme,même,"Meme paulie vous dis d'arretez , vous forcez et en plus vous etes genant",1138
d'arretez,d'arrêter,"Meme paulie vous dis d'arretez , vous forcez et en plus vous etes genant",1138
etes,êtes,"Meme paulie vous dis d'arretez , vous forcez et en plus vous etes genant",1138
genant,gênant,"Meme paulie vous dis d'arretez , vous forcez et en plus vous etes genant",1138
darronne,mère,pierre c'est quoi le bordel ta darronne elle s'est fait violer par un arabes ou quoi,1139
mvs,mauvaises,Au revoir mvs vous êtes drôles,1140
aller,allez,aller bonne journees et vivie le z,1141
journees,journées,aller bonne journees et vivie le z,1141
vivie,vive,aller bonne journees et vivie le z,1141
z,sexe,aller bonne journees et vivie le z,1141
c'et,c'est,c'et ce que disent toutes les jalouses,1142
tarpin,très,il est tarpin pas beau en plus,1143
t'est,t'es,En plus Adrien t'est un gros raciste t'as pas honte,1146
